ID,Session,MLTD,TotalTokens,MeanClauseLength,AvgDepLength,DepTypeEntropy,NominalDensity,NPComplexity,VPComplexity,MeanNPLength,PPDensity,Condition.x,Variety,Topic
GPT4.1_135,3rd,205.7674272,611,6.865168539,3.082332762,3.104960095,2.454991817,0.221518987,11.09756098,1.525316456,2.214285714,GPT,CAN,stereotype
GPT4.1_136,2nd,270.4090612,594,8.136986301,3.360568384,3.084899367,1.851851852,0.214285714,11.39534884,1.557142857,1.806451613,GPT,CAN,dream
GPT4.1_136,3rd,231.8465194,569,7.689189189,3.156537753,3.127257252,2.284710018,0.209459459,10.875,1.506756757,2.115384615,GPT,CAN,stereotype
GPT4.1_136,1st,226.3548521,623,7.244186047,3.246205734,3.069460337,0.481540931,0.277372263,12.5,1.671532847,2.333333333,GPT,CAN,technology
GPT4.1_137,1st,212.2159971,617,7.011363636,3.124573379,3.118804785,1.13452188,0.295774648,10.4125,1.64084507,1.838709677,GPT,CAN,technology
GPT4.1_137,3rd,201.8669325,616,7.512195122,3.083050847,3.157639496,0.974025974,0.192771084,13.06024096,1.463855422,2.076923077,GPT,CAN,stereotype
GPT4.1_137,2nd,188.6277689,607,7.058139535,3.418244406,3.129910789,0.988467875,0.219178082,12.6,1.52739726,2.115384615,GPT,CAN,dream
GPT4.1_138,1st,245.8511561,620,7.469879518,2.85077187,3.036076481,1.612903226,0.212328767,10.26136364,1.51369863,1.648648649,GPT,CAN,technology
GPT4.1_138,2nd,222.596432,612,7.948051948,3.448805461,3.050363519,2.124183007,0.131944444,11.325,1.465277778,2.307692308,GPT,CAN,dream
GPT4.1_138,3rd,212.4432284,587,7.3375,3.172043011,3.089463366,1.703577513,0.148648649,11.02409639,1.466216216,1.827586207,GPT,CAN,stereotype
GPT4.1_139,1st,245.48125,618,8.465753425,3.292724196,3.094930066,0.970873786,0.234042553,11.82758621,1.546099291,2.555555556,GPT,CAN,technology
GPT4.1_139,2nd,202.9776936,663,7.206521739,3.227848101,3.116846499,1.206636501,0.183006536,9.677083333,1.535947712,1.64516129,GPT,CAN,dream
GPT4.1_139,3rd,200.3543932,625,7.26744186,3.091973244,3.099796634,1.6,0.190184049,11.34375,1.496932515,2.222222222,GPT,CAN,stereotype
GPT4.1_14,3rd,211.7969536,706,9.051282051,3.253709199,3.021422331,0.566572238,0.212643678,12.50588235,1.511494253,2.40625,GPT,CAN,technology
GPT4.1_14,2nd,184.6081579,603,7.265060241,3.148531952,3.095322614,0.829187396,0.240506329,11.73809524,1.525316456,2.333333333,GPT,CAN,stereotype
GPT4.1_14,1st,176.5198803,596,7.946666667,3.022887324,3.076218244,1.342281879,0.197368421,10.11111111,1.552631579,1.821428571,GPT,CAN,dream
GPT4.1_140,2nd,237.7843257,610,7.530864198,3.401032702,3.099806449,1.31147541,0.226027397,12.49450549,1.589041096,2.034482759,GPT,CAN,dream
GPT4.1_140,3rd,210.8017275,615,7.409638554,2.855917667,3.093838863,1.788617886,0.242236025,12.26582278,1.602484472,1.84375,GPT,CAN,stereotype
GPT4.1_140,1st,204.2374237,593,7.144578313,2.971530249,3.072663946,1.349072513,0.2,10.33333333,1.607407407,1.967741935,GPT,CAN,technology
GPT4.1_141,1st,210.3756202,640,8.311688312,3.036243822,3.098404768,0.15625,0.25170068,11.18390805,1.496598639,2.242424242,GPT,CAN,technology
GPT4.1_141,2nd,207.0213229,616,8.213333333,3.275510204,3.092336286,0.974025974,0.3125,11.40506329,1.666666667,2.142857143,GPT,CAN,dream
GPT4.1_141,3rd,192.8357765,575,7.986111111,3.212341198,3.094753795,1.565217391,0.238410596,12.44,1.569536424,2.5,GPT,CAN,stereotype
GPT4.1_142,1st,262.3922328,596,7.268292683,3.090747331,3.02042231,1.510067114,0.178571429,11.24358974,1.457142857,1.735294118,GPT,CAN,technology
GPT4.1_142,2nd,235.9688053,681,7.918604651,3.51914242,3.085723378,1.468428781,0.25,13.38297872,1.604651163,2.5,GPT,CAN,dream
GPT4.1_142,3rd,229.2301667,634,7.731707317,3.298333333,3.088687627,0.94637224,0.25625,10.6627907,1.5875,1.941176471,GPT,CAN,stereotype
GPT4.1_143,1st,259.6875,627,8.589041096,3.2090301,3.063390534,0.4784689,0.214285714,12.45977011,1.528571429,2.379310345,GPT,CAN,technology
