,Condition,Variety,ConditionVariety,POS,Frequency
320,Sty,UK,Sty_UK,Verbs,0.113835377
321,Sty,UK,Sty_UK,Nouns,0.204903678
322,Sty,UK,Sty_UK,Adjectives,0.059544658
323,Sty,UK,Sty_UK,Adverbs,0.059544658
324,Nat,UK,Nat_UK,Verbs,0.144329897
325,Nat,UK,Nat_UK,Nouns,0.132302405
326,Nat,UK,Nat_UK,Adjectives,0.079037801
327,Nat,UK,Nat_UK,Adverbs,0.070446735
332,Par,UK,Par_UK,Verbs,0.145929339
333,Par,UK,Par_UK,Nouns,0.156682028
334,Par,UK,Par_UK,Adjectives,0.072196621
335,Par,UK,Par_UK,Adverbs,0.082949309
336,Nat,UK,Nat_UK,Verbs,0.144366197
337,Nat,UK,Nat_UK,Nouns,0.147887324
338,Nat,UK,Nat_UK,Adjectives,0.080985915
339,Nat,UK,Nat_UK,Adverbs,0.044014085
344,Par,UK,Par_UK,Verbs,0.14354067
345,Par,UK,Par_UK,Nouns,0.16108453
346,Par,UK,Par_UK,Adjectives,0.059011164
347,Par,UK,Par_UK,Adverbs,0.054226475
348,Nat,UK,Nat_UK,Verbs,0.113808801
349,Nat,UK,Nat_UK,Nouns,0.148710167
350,Nat,UK,Nat_UK,Adjectives,0.077389985
351,Nat,UK,Nat_UK,Adverbs,0.078907436
352,Sty,UK,Sty_UK,Verbs,0.117088608
353,Sty,UK,Sty_UK,Nouns,0.162974684
354,Sty,UK,Sty_UK,Adjectives,0.064873418
355,Sty,UK,Sty_UK,Adverbs,0.049050633
356,Nat,UK,Nat_UK,Verbs,0.139973082
357,Nat,UK,Nat_UK,Nouns,0.138627187
358,Nat,UK,Nat_UK,Adjectives,0.067294751
359,Nat,UK,Nat_UK,Adverbs,0.059219381
360,Sty,UK,Sty_UK,Verbs,0.130368098
361,Sty,UK,Sty_UK,Nouns,0.168711656
362,Sty,UK,Sty_UK,Adjectives,0.056748466
363,Sty,UK,Sty_UK,Adverbs,0.062883436
364,Nat,UK,Nat_UK,Verbs,0.131578947
365,Nat,UK,Nat_UK,Nouns,0.179276316
366,Nat,UK,Nat_UK,Adjectives,0.069078947
367,Nat,UK,Nat_UK,Adverbs,0.042763158
372,Par,CAN,Par_CAN,Verbs,0.117216117
373,Par,CAN,Par_CAN,Nouns,0.205128205
374,Par,CAN,Par_CAN,Adjectives,0.082417582
375,Par,CAN,Par_CAN,Adverbs,0.038461538
376,Nat,CAN,Nat_CAN,Verbs,0.132290185
377,Nat,CAN,Nat_CAN,Nouns,0.153627312
378,Nat,CAN,Nat_CAN,Adjectives,0.06401138
379,Nat,CAN,Nat_CAN,Adverbs,0.045519203
380,Sty,CAN,Sty_CAN,Verbs,0.128027682
381,Sty,CAN,Sty_CAN,Nouns,0.176470588
382,Sty,CAN,Sty_CAN,Adjectives,0.084775087
383,Sty,CAN,Sty_CAN,Adverbs,0.064013841
384,Nat,CAN,Nat_CAN,Verbs,0.152801358
385,Nat,CAN,Nat_CAN,Nouns,0.161290323
386,Nat,CAN,Nat_CAN,Adjectives,0.066213922
387,Nat,CAN,Nat_CAN,Adverbs,0.056027165
388,Nat,US,Nat_US,Verbs,0.143141153
389,Nat,US,Nat_US,Nouns,0.133863486
390,Nat,US,Nat_US,Adjectives,0.042412194
391,Nat,US,Nat_US,Adverbs,0.05036448
392,Phr,NZ,Phr_NZ,Verbs,0.100175747
393,Phr,NZ,Phr_NZ,Nouns,0.224956063
394,Phr,NZ,Phr_NZ,Adjectives,0.086115993
395,Phr,NZ,Phr_NZ,Adverbs,0.033391916
396,Nat,NZ,Nat_NZ,Verbs,0.106012658
397,Nat,NZ,Nat_NZ,Nouns,0.216772152
398,Nat,NZ,Nat_NZ,Adjectives,0.083860759
399,Nat,NZ,Nat_NZ,Adverbs,0.045886076
400,Sty,AUS,Sty_AUS,Verbs,0.125862069
401,Sty,AUS,Sty_AUS,Nouns,0.155172414
402,Sty,AUS,Sty_AUS,Adjectives,0.075862069
403,Sty,AUS,Sty_AUS,Adverbs,0.062068966
404,Nat,AUS,Nat_AUS,Verbs,0.147840532
405,Nat,AUS,Nat_AUS,Nouns,0.141196013
406,Nat,AUS,Nat_AUS,Adjectives,0.058139535
407,Nat,AUS,Nat_AUS,Adverbs,0.074750831
408,Phr,NZ,Phr_NZ,Verbs,0.138738739
409,Phr,NZ,Phr_NZ,Nouns,0.16036036
410,Phr,NZ,Phr_NZ,Adjectives,0.054054054
411,Phr,NZ,Phr_NZ,Adverbs,0.077477477
412,Nat,NZ,Nat_NZ,Verbs,0.105633803
413,Nat,NZ,Nat_NZ,Nouns,0.167253521
414,Nat,NZ,Nat_NZ,Adjectives,0.077464789
415,Nat,NZ,Nat_NZ,Adverbs,0.054577465
416,Par,CAN,Par_CAN,Verbs,0.133445946
417,Par,CAN,Par_CAN,Nouns,0.179054054
418,Par,CAN,Par_CAN,Adjectives,0.076013514
419,Par,CAN,Par_CAN,Adverbs,0.050675676
420,Nat,CAN,Nat_CAN,Verbs,0.121555916
421,Nat,CAN,Nat_CAN,Nouns,0.145867099
422,Nat,CAN,Nat_CAN,Adjectives,0.047001621
423,Nat,CAN,Nat_CAN,Adverbs,0.068071313
424,Nat,AUS,Nat_AUS,Verbs,0.127874885
425,Nat,AUS,Nat_AUS,Nouns,0.203311868
426,Nat,AUS,Nat_AUS,Adjectives,0.076356946
427,Nat,AUS,Nat_AUS,Adverbs,0.041398344
428,Phr,UK,Phr_UK,Verbs,0.159132007
429,Phr,UK,Phr_UK,Nouns,0.155515371
430,Phr,UK,Phr_UK,Adjectives,0.075949367
431,Phr,UK,Phr_UK,Adverbs,0.074141049
432,Nat,UK,Nat_UK,Verbs,0.133437991
433,Nat,UK,Nat_UK,Nouns,0.174254317
434,Nat,UK,Nat_UK,Adjectives,0.072213501
435,Nat,UK,Nat_UK,Adverbs,0.06122449
436,Sty,UK,Sty_UK,Verbs,0.133768352
437,Sty,UK,Sty_UK,Nouns,0.161500816
438,Sty,UK,Sty_UK,Adjectives,0.039151713
439,Sty,UK,Sty_UK,Adverbs,0.091353997
440,Nat,UK,Nat_UK,Verbs,0.142361111
441,Nat,UK,Nat_UK,Nouns,0.170138889
442,Nat,UK,Nat_UK,Adjectives,0.071180556
443,Nat,UK,Nat_UK,Adverbs,0.067708333
444,Sty,UK,Sty_UK,Verbs,0.13986014
445,Sty,UK,Sty_UK,Nouns,0.16958042
446,Sty,UK,Sty_UK,Adjectives,0.087412587
447,Sty,UK,Sty_UK,Adverbs,0.062937063
448,Nat,UK,Nat_UK,Verbs,0.162962963
449,Nat,UK,Nat_UK,Nouns,0.211111111
450,Nat,UK,Nat_UK,Adjectives,0.062962963
451,Nat,UK,Nat_UK,Adverbs,0.040740741
452,Phr,UK,Phr_UK,Verbs,0.11771995
453,Phr,UK,Phr_UK,Nouns,0.158612144
454,Phr,UK,Phr_UK,Adjectives,0.086741016
455,Phr,UK,Phr_UK,Adverbs,0.069392813
456,Nat,UK,Nat_UK,Verbs,0.134715026
457,Nat,UK,Nat_UK,Nouns,0.154145078
458,Nat,UK,Nat_UK,Adjectives,0.085492228
459,Nat,UK,Nat_UK,Adverbs,0.071243523
460,Phr,UK,Phr_UK,Verbs,0.144599303
461,Phr,UK,Phr_UK,Nouns,0.172473868
462,Phr,UK,Phr_UK,Adjectives,0.06445993
463,Phr,UK,Phr_UK,Adverbs,0.050522648
464,Nat,UK,Nat_UK,Verbs,0.126689189
465,Nat,UK,Nat_UK,Nouns,0.168918919
466,Nat,UK,Nat_UK,Adjectives,0.0625
467,Nat,UK,Nat_UK,Adverbs,0.076013514
468,Phr,CAN,Phr_CAN,Verbs,0.155802862
469,Phr,CAN,Phr_CAN,Nouns,0.155802862
470,Phr,CAN,Phr_CAN,Adjectives,0.084260731
471,Phr,CAN,Phr_CAN,Adverbs,0.060413355
472,Nat,CAN,Nat_CAN,Verbs,0.12915601
473,Nat,CAN,Nat_CAN,Nouns,0.152173913
474,Nat,CAN,Nat_CAN,Adjectives,0.054987212
475,Nat,CAN,Nat_CAN,Adverbs,0.056265985
476,Phr,US,Phr_US,Verbs,0.1
477,Phr,US,Phr_US,Nouns,0.176271186
478,Phr,US,Phr_US,Adjectives,0.079661017
479,Phr,US,Phr_US,Adverbs,0.052542373
480,Nat,US,Nat_US,Verbs,0.121645796
481,Nat,US,Nat_US,Nouns,0.164579606
482,Nat,US,Nat_US,Adjectives,0.100178891
